No,Student ID,Fullname,gender,DoB,Class
1,19127626,Nguyen Van Minh,0,20-02-2001,19CLC2
2,19127628,Tran Hoang Nhat,0,20-02-2002,19CLC2
3,19127630,Le Thi Anh,1,21-12-2001,19CLC2
4,19127632,Tran Anh Tu,1,21-2-2001,19CLC2
5,19127634,Le Van Tu,0,20-02-2001,19CLC2
6,19127636,Nguyen Van Tu,0,20-02-2001,19CLC2
7,19127638,Tran Thi Ngoc Anh,1,20-01-2001,19CLC2
8,19127640,Le Hoang Anh Thu,1,21-12-2001,19CLC2
9,19127642,Le Hoang Anh Khoi,0,20-02-2001,19CLC2
10,19127644,Nguyen Hoang Anh Phuc,0,20-02-2001,19CLC2
11,19127646,Le Tam Nhu,1,21-12-2001,19CLC2
12,19127648,Nguyen Tran Thien Toan,0,20-02-2001,19CLC2
13,19127650,Le Do Anh Duy,0,20-02-2001,19CLC2
14,19127652,Nguyen Ngoc Nhan,0,20-02-2001,19CLC2
15,19127654,Le Minh Huu,0,20-02-2001,19CLC2
16,19127656,Tran Van Lam,0,20-02-2001,19CLC2
17,19127658,Nguyen Tran Kim Tu,1,21-12-2001,19CLC2
18,19127660,Tran Ngoc Nhu,0,20-02-2001,19CLC2
19,19127662,Chau Van Duy,0,20-02-2001,19CLC2
20,19127664,Nguyen Hoang Bao,0,20-02-2001,19CLC2
